Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,PROD_ID,Voltage,Tolerance,Field4
C1,1,0.1uF,C_Disc_D4.7mm_W2.5mm_P5.00mm,,,,tht,Unpolarized capacitor,CAP-25565,16V,10%,
"D1_B1, D2_A1, D2_B1, D3_A1, D3_B1, D4_A1, D4_B1, D_1A1",8,IR_LED,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,,,,tht,,,,,
J1,1,5v_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,,CONN-09863
J10,1,ItsyBitsyRight,PinHeader_1x14_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x14, script generated",,,,
J11,1,ItsyBitsyLeft,PinHeader_1x14_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x14, script generated",,,,
J2,1,GND_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,,CONN-09863
J3,1,I2C_3V3_Exp,PinHeader_1x04_P2.54mm_Vertical,,,,tht,,,,,
J4,1,Conn_02x15_M5Stack_Core2,PinHeader_2x15_P2.54mm_Vertical,,,,tht,,,,,
J5,1,I2C_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,,CONN-09863
J6,1,3PI_SWTCH,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,,CONN-09863
J8,1,ProxA,PinHeader_1x04_P2.54mm_Vertical,,,,tht,,,,,
J9,1,ProxB,PinHeader_1x04_P2.54mm_Vertical,,,,tht,,,,,
"PWR1, RESET",2,Bttn,SW_PUSH_6mm,,,,tht,,,,,
"Q1, Q2, Q3, Q5",4,PN2222A,TO-92_Inline,,,,tht,"1A Ic, 40V Vce, NPN Transistor, General Purpose Transistor, TO-92",,,,
"Q7, Q8",2,2N7000,TO-92_Inline,,,,tht,,,,,
"R1, R10, R13, R9",4,82R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,tht,,,,, 
"R15, R16, R17, R18",4,1K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,tht,,,,, 
"R19, R20",2,4k7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,tht,,,,, 
"R2, R3, R6",3,LDR,R_LDR_5.0x4.1mm_P3mm_Vertical,,,,tht,,,,,
"R4, R5, R7",3,10K_LDR,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,tht,,,,, 
U1,1,74LS08,DIP-14_W7.62mm_Socket,,,,tht,Quad And2,,,,
"UD_1, UD_2, UD_3, UD_4",4,TSDP34138,Vishay_MOLD-3Pin,,,,tht,,,,,
"VR2_A1, VR3_A1, VR4_A1, VR_1A1",4,5K_Pot_IRLED,Potentiometer_Bourns_3386P_Vertical,,,,tht,,,,,RES-09730
